未決事項ファイル,,,,,,,
更新日時：2026年9月23日 00:20,,,,,,,
ー,,,,,,,
U1,本文書の目的,,,,,,
本文書は、検討上の問いのうち確定値も前提条件値も置かれていないものを集約する。解決した問いの値は確定事項ファイルに記載し、本文書には記載しない。,,,,,,,
ー,,,,,,,
U2,記載ルール,,,,,,
,項目,記載内容,備考,,,,
U2-1,ID,Ubb-ccc を記載する。書式は【文書体系】による,項目の改訂を行ってもIDは維持する,,,,
U2-2,キー,確定事項ファイルD2の語彙からA系統1語以上・B系統1語以上を |キー|キー| の書式で記載する,,,,,
U2-3,問い,未決の問いを1行で記載する,,,,,
U2-4,止めている移行条件,解決が必要となる計画書の移行条件ID（Gn-m）を記載する。空欄を置かない,,,,,
U2-5,回答待ち先,依頼主判断／計算／実測／調査 の4値とする。第5の値を置かない,,,,,
U2-6,発火条件,次の3形式のいずれかで記載する。空欄および「未定」を置かない。(1)「Gn開始」：現在のフェーズがGn以降であるとき満たす。(2)「<ID>確定」または「<ID>解決」：指定したIDの状態が当該の値になったとき満たす。(3)「毎回」：常に満たす,,,,,
U2-7,状態,未決／解決／取下げ の3値とする。第4の値を置かない,,,,,
U2-8,解決先ID,状態が解決のとき、値を記載した確定事項ファイルのID（Abb-ccc または Dbb-ccc）を記載する。値そのものは記載しない,,,,,
U2-10,承認,行の起票・解決・取下げは依頼主の承認を経る,,,,,
ー,,,,,,,
U3,未決事項,,,,,,
ID,キー,問い,止めている移行条件,回答待ち先,発火条件,状態,解決先ID
U01-001,|CSP|LP|昇降機構|寸法|,CSPの使用時のx位置（LP中心との横ずれ）を、機構の成立性と音響性能のトレードオフのもとでどこに決めるか,G2-1,依頼主判断,G2開始,解決,A02-001
