まとめファイルID,お題目,検索キーワード,生じた確定事項ID,生じた未確定事項ID
S01-001,プロジェクト資料の読み込みと与件の確認,部屋寸法 梁 掘り込み 座標基準 単位未記載,-,-
S01-002,ルール文書群の読み込みと、矛盾・誤記の摘出,参照ズレ 欠番 用語ゆれ 適用範囲 3-3申告,-,-
S01-003,確定事項の検索性設計（キー語彙表と節構造）,語彙統制 パイプ囲み 区切り行 二段抽出 断面,-,-
S01-004,滞留量指標の再設計,文脈重量 累積和 遡及集計 計上対象 打ち切り判断,-,-
S01-005,やり忘れ防止トリガーの設計,相乗り 構造的強制 事後検出 自発性依存 作業の消去,-,-
S01-006,ルール改訂の確定と実施計画,実施待ち 原文喪失 再読必要 分割判断 次回冒頭,-,-
S02-001,GitHubリポジトリのディレクトリ運用の確立とまとめファイル群の配置,ディレクトリ生成 スマホ操作 パス編集 空フォルダ不可 初回配置,-,-
S02-002,ルール改訂ルール・出力ルールの改訂（P01-004、P01-003）,欠番是正 差分検算 繰上げ 教訓ファイル削除 存在しない節,-,-
S02-003,成果物受け渡し経路によるファイル名変質の切り分け,アンダースコア消失 経路依存 反証実験 一次観察 保存方法,-,-
S02-004,最初に読むことの改訂（P01-001）と未申告条文の混入,滞留量整備 台帳一本化 手順飛ばし 起案 合意なき文言,-,-
S02-005,禁止語句検査の不通過と呼称の統一,機械検査 個人特定 一括置換 工程順不整合 事後検査,-,-
