確定事項ファイル,,,,,,
更新日時：2026年9月21日 18:20,,,,,,
ー,,,,,,
D1,本文書の目的,,,,,
本文書に記載されている内容は、1)確定事項（1-1:依頼者からの与件、1-2:セッションを重ねて検討をすすめた中で確定した事項・値）、2)設計前提条件（未確定ではあるが設計をすすめるための前提として仮設定した事項・値。交渉により変更可）であり、装置設計をするうえでの拠所として参照・使用する。確定事項には採用すべき内容だけでなく、適用できないことが確認できたため検討を二度と実施してはいけない内容も記載する。,,,,,,
ー,,,,,,
D2,キー語彙表,,,,,
系統,語彙,,,,,
A,|部屋|梁|収納部|CSP|SC|PJ|LP|昇降機構|駆動|制御|電源配線|取付|図面|評価|照明|,,,,,
B,|座標系|寸法|質量|干渉|安全|意匠|メンテ|静粛|動作時間|入手性|コスト|分類|加工|,,,,,
ー ,,,,,,
D3,記載ルール,,,,,
,項目,記載内容,備考,,,
D3-1,ID,確定事項/前提条件のIDを記載する,前提条件→確定事項に切り替える場合は先頭の文字列のみ変更する。それ以外は項目の改訂を行ってもIDは維持する,,,
D3-2,キー,D2の語彙からA系統1語以上・B系統1語以上を |キー|キー| の書式で記載する,語彙の追加は依頼主の承認を経る,,,
D3-3,項目,確定した事項を記載する,,,,
D3-4,確定値／前提条件値,確定事項：確定した値 を記載する。前提条件：設計する上での前提条件値 を記載する,,,,
D3-5,status,確定事項：与件／実測／カタログ／計算／選定／却下 の6値とする。第7の値を置かない。前提条件：仮設定／計算 の2値とする。第3の値を置かない,,,,
D3-6,出典ID,出所となるまとめファイルIDを記載する。まとめを経ずに登録した行は出所となる資料名または取得方法を記載する。statusが計算の行は入力とした確定事項IDを併記する,改訂のときはIDの書き換えではなく追記とする,,,
D3-7,備考,補足事項がある場合に記載する,,,,
,,,,,,
D4,確定事項,,,,,
ID,キー,項目,確定値,status,出典ID,備考
D00-001,|部屋|梁|収納部|座標系|,座標系定義：x（左右方向）,視聴席（LP）からスクリーン（SC）を見たとき、左手側の壁の内面を原点とする。(-)原点→右向き(+),与件,与件,原点のある壁を左壁と呼ぶ
D00-002,|部屋|梁|収納部|座標系|,座標系定義：d（前後方向）,SC側の壁の内面を原点とする。(-)原点→LP側(+),与件,与件,原点のある壁を前壁と呼ぶ
D00-003,|部屋|梁|収納部|座標系|,座標系定義：h（高さ方向）,床面を原点とする。(-)原点→天井(+),与件,与件,2609211252版で項目の誤記（左右方向）を高さ方向に修正
D00-004,|部屋|梁|収納部|CSP|SC|PJ|LP|昇降機構|寸法|,単位,個別に記載のない数値の単位はすべてcmとする,与件,与件,
D00-005,|照明|干渉|,照明の配光角,1/2ビーム角118°・1/2照度角67°,カタログ,-,
D00-006,|照明|寸法|,照明の器具寸法,器具径φ11.4,カタログ,-,
D00-007,|梁|安全|,梁の種別,構造材,与件,仕様書,２階の床を支持する構造用梁
D00-008,|梁|安全|,梁の材種樹種,構造用集成材EW・樹種WW/RW,与件,仕様書,
D00-009,|梁|安全|,梁の加工可否,切り欠き・貫通穴は付加,与件,与件,
D00-010,|電源配線|意匠|,電源の確保,梁エリア付近に電源はない,実測,-,
,,,,,,
D5,設計前提条件,,,,,
ID,キー,項目,前提条件値,status,出典ID,備考
A00-001,|収納部|CSP|昇降機構|寸法|意匠|,収納時の機構・CSP下端の下限寸法,h=245,仮設定,-,寸法は交渉可
A00-002,|昇降機構|分類|,昇降機構の方式,スコットラッセルリンク機構,仮設定,-,
A00-003,|SC|寸法|座標系|,SCビュー中心（映像面中心）の位置,x=146／d=25／h=99,仮設定,-,
A00-004,|PJ|寸法|座標系|,PJレンズ中心の位置,x=146／d=305／h=217,仮設定,-,
D00-009,|梁|安全|,梁の加工可否,梁へのねじ止め（下穴加工は可）サイズはM6までのこと,仮設定,-,サイズは交渉可
A00-005,|照明|干渉|,配光への干渉,収納時は機器・SPCは配光に干渉しないこと。動作中・使用時は干渉可,仮設定,-,
A00-006,|電源配線|意匠|,電源の確保,依頼主が延長ケーブルを引き回して確保する,仮設定,-,
