まとめ履歴
作成日時：2026年9月20日 14:45
ー
1,はじめに
1-1,本文書の目的,まとめファイル群への索引。過去の検討を参照するとき、どのセッションのまとめファイルを開けばよいかを特定する
1-2,本文書の読み方,通読しない。列を検索し、該当する行のみを引く
1-3,本文書の更新,毎セッション末に3節へ当該セッションの検討項目を追記する。過去の行を書き換えない

2,記載ルール
,項目,記載内容,備考,
2-1,ID,まとめファイル.mdのまとめファイルIDを転記する
2-2,まとめファイル,まとめファイル.mdのプレフィクス（10桁の数値のみ）を記載する
2-3,お題目,まとめファイル.mdのお題目を転記する。文言を変えない
2-4,検索キーワード,まとめファイル.mdの検索キーワードを転記する。文言を変えない
2-5,生じた確定事項ID,まとめファイル.mdの確定事項IDを転記する,無い場合は「-」を記載する


3,履歴
ID,まとめファイル,お題目,検索キーワード,生じた確定事項ID
M01-001,2609220150,与件・ルールの読み込みと理解の確認,最初に読むこと／文書体系／部屋.xlsx／梁配置／開始時スクリプト,-
M01-002,2609220150,フェーズ計画の策定,計画書／フェーズ分割／移行条件／スマートプラグ制御,-
M01-003,2609220150,計画書・未決事項ファイルの正式文書化と関連ルールの改訂,文書体系／起票元列／発火条件／まとめルール／出力ルール／ルール改訂ルール,-
M01-004,2609220150,未確定事項の起票,未決事項ファイル／確定事項ファイル／LP中心／トレードオフ,D01-001
M01-005,2609220150,CSPの配置とx位置の検討,梁間寸法／横ずれ／部屋.xlsx／SC中心／A00-001,-
M02-001,2609221122,セッション開始処理と配置チェック,引き継ぎファイル／GHファイルリスト／文書体系／tl-install.sh／バイト数不一致,-
M02-002,2609221122,CSPの使用位置・収納位置・ストロークの検討,干渉②／PJ光路上端／チルト角／確定事項ファイル／K001,D02-001、A02-001、A02-002、A02-003、A02-004、A02-005
M02-003,2609221122,作図ツールの新設と出力ルールの改訂,出力ルール／ルール改訂ルール／図枠コマンド／部屋コマンド／O7-7,-
M02-004,2609221122,スクリーン製品寸法図の取り込みとA00-003の改訂,参考資料／製品寸法図／SCケース／部屋.xlsx写真／確定事項ファイル,A00-003
M02-005,2609221122,引き継ぎファイルが無いときの取り組み項目宣言の欠落,セッション開始ルール／アップロードがないとき／S4／乖離,-

M03-001,2609221515,セッション開始処理と配置チェック,引き継ぎファイル／GHファイルリスト／tl-install.sh／台帳／ターン番号の飛び,-
M03-002,2609221515,途中配置ファイルとバイナリの取得手順の未規定,C4-l／cmd5／アーカイブ／PDF／カスタム指示,-
M03-003,2609221515,CSPの配置とx位置の検討,正面図／上面図／K002／K003／照明配光／計画書,-
M03-004,2609221515,干渉計算の成果物化とC4-iの読み替え,K004／干渉計算／C4-i／正式文書／文書体系,-
M03-005,2609221515,文書体系のまとめファイル配置先の誤記訂正,文書体系／ルール改訂ルール／配置先／GH/まとめ/まとめ,-

M04-001,2609222116,セッション開始処理と配置チェック,tl-install.sh／GHファイルリスト／K002／K003／開始処理とC3,-
M04-002,2609222116,cmd3経由の規定（C3）への逸脱の再発防止,カスタム指示／cmd3／BASH_ENV／/bin/sh／申告コスト,-
M04-003,2609222116,G2のステップ分割と計画書への追記,計画書／ステップ／移行条件／U01-001／発火条件,-
M04-004,2609222116,G2ステップ1 条件の整理,条件図／K001／K002／K004／欠番,-
M04-005,2609222116,G2ステップ2 機構の骨格と姿勢保持の方式,スコットラッセル／K007／K008／K009／配光余裕／cotφ,-

M05-001,2609230020,セッション開始処理と配置チェック,tl-install.sh／GHファイルリスト／K007／K009／U01-001,-
M05-002,2609230020,G2ステップ3の目的と完了条件の整理,計画書／動作軌跡図／A00-006／掃過範囲／完了条件,-
M05-003,2609230020,G2ステップ3 x位置と音響の判定,U01-001／腹話術効果／ずれ角／K010／A05-001／A05-002,A02-001、A05-001、A05-002
M05-004,2609230020,図枠コマンドの出典行の折り返し,zuwaku.py／凡例／はみ出し／O7-7,-
M05-005,2609230020,まとめ時の台帳の二重計上と修正,ledger.csv／ターン番号の飛び／cmd2／C4-k／C3,-

M06-001,2609231750,セッション開始処理と配置チェック,tl-install.sh／GHファイルリスト／K010／zuwaku.py／アップロード欠落,-
M06-002,2609231750,G2ステップ4 駆動方式の候補と必要推力,推力／cotφ／リニアアクチュエータ／セルフロック／機器一覧.csv,-
M06-003,2609231750,G2ステップ4 アクチュエータ本体の収まり,上面図／側面図／配光／部屋.xlsx／x方向厚さ／A05-001,-
M06-004,2609231750,G2ステップ4 左右の同期と停止精度,同期／速度差／リミットスイッチ／球面関節／確定事項ファイル／A02-003,-
M06-005,2609231750,チャット表示図の作図仕様からの逸脱,出力ルール／O2-2／O7-7／縦横同縮尺／図枠コマンド,-
M06-006,2609231750,まとめ作業での取得過多と cmd3 の不経由,cmd5／L1指定／まとめルール／ヒアドキュメント,-
M07-001,2609232139,セッション開始処理・配置チェック・確定事項の起票漏れ,配置チェック／zuwaku.py／K010／引き継ぎファイル／GHファイルリスト,A06-001、A06-002、A06-003、A07-001、A02-003（改訂）、A02-005（改訂）
M07-002,2609232139,G2ステップ5 制御方針の検討,Alexa／Shelly 2PM／スマートリレー／Hブリッジ／インターロック／リミットスイッチ,A08-001、A08-002、A08-003、A08-004、A08-005
M07-003,2609232139,G2ステップ4 推力・速度計算の成果物化,K011／推力／cot(φ)／仕事量／アクチュエータ選定,-
