未確定事項ファイル,,,,,,,,
更新日時：2026年9月5日 17:15,,,,,,,,
ー,,,,,,,,
1,はじめに,,,,,,,
1-1.,本文書の目的,確定事項ファイルと対をなす未確定事項の管理文書,,,,,,
,,,,,,,,
1-2.,キー語彙表,,,,,,,
,系統,語彙,,,,,,
,A,|部屋|梁|収納部|CSP|SC|PJ|LP|昇降機構|駆動|制御|電源配線|取付|図面|,,,,,,
,B,|寸法|質量|干渉|安全|意匠|メンテ|静粛|動作時間|入手性|コスト|,,,,,,
,,,,,,,,
2,記載ルール,,,,,,,
,項目,記載内容,備考,,,,,
2-1.,ID,未確定事項のIDを記載する,,,,,,
2-2.,キー,1-2.の語彙からA系統1語以上・B系統1語以上を |キー|キー| の書式で記載する,語彙の追加は依頼主の承認を経る,,,,,
2-3.,status,`open` と `close` の2値とする。第3の値を置かない,close にするとき、行を削除しない。項目の一部のみが決着した場合は、決着した部分を close とし、残る部分を新しい番号で open として起票する,,,,,
2-4.,現状・結果,`未着手` / `着手済` / `結果：` のいずれかで始める。第4の値を置かない,必要な行動が複数ある項目は、行動番号ごとに状態を書いてよい,,,,,
2-5.,項目,未確定事項を記載する,,,,,,
2-6.,必要な行動,未確定事項を修了させるために必要な行動を記載する,行動は複数記載しても構わない,,,,,
2-7.,積み残す理由,`(a) ` / `(b) ` / `(c) `の3値とする。第4の値を置かない,(a) 入力待ち：外部へ既に照会済みで、回答を待っている／(b) 順序待ち：先に決まるべき未確定事項がある。当該項目の番号を併記する／(c) 費用対効果：今調べる手間が結論への寄与に見合わない。まだ照会していないものはここに入る,,,,,
2-8.,検討開始,起きた／起きていないが一意に判定できる出来事を1つ書く。日付を書かない。(a) は`当該入力が手元に来た時点`、(b) は`当該項目が close になった時点`を書く。(c) は自力で記す,,,,,,
2-9.,終了条件,それを満たしたとき当該行を close にしてよい状態を記載する,,,,,,
2-10.,close時の書式,statusを close にするとき、現状・結果を `結果：〔確認した内容〕。close YYMMDDhhmm → 〔移動先の番号〕` に改める。移動先は3値とし、第4の値を置かない,確定事項ファイルのID（番号）：確定へ昇格、または採らないと確定した場合／本ファイルの新ID（番号）：複数の論点を分割した場合／`問いが消滅` ＋ 根拠となるまとめファイルのID（番号）：前提が変わり問いそのものが無効になった場合,,,,,
2-11.,statusとの整合,`未着手` `着手済` のとき status は open、`結果：` のとき status は close とする,両列が一致しない行は異常として報告する,,,,,
2-12.,起票の要件,起票時に2-7.積み残す理由、2-8.検討開始、2-9.終了条件の3欄を必ず埋める,3欄のいずれかを埋められない項目は本ファイルに起票しないこと,,,,,
ー,,,,,,,,
3,未確定事項,,,,,,,
ID,キー,status,現状・結果,項目,必要な行動,積み残す理由,検討開始,終了条件
U05-001,|SC|PJ|寸法|干渉|,close,結果：依頼主指定値としてSC投影面とPJレンズの座標を取得した。close 2609051715 → D00-030・D00-031,スクリーンとプロジェクターの設置位置（高さ・前後・左右）,依頼主から3軸の座標値を取得する,(a) 入力待ち,当該入力が手元に来た時点,座標値が確定事項ファイルへ登録された時点
U05-002,|部屋|寸法|,close,結果：座標基準は3節・単位は4-0.として起票時点で既に確定事項ファイルに存在していた。close 2609051715 → 問いが消滅 S10-001,部屋.xlsxの座標基準と単位,依頼主に前後方向と高さの基準および単位を確認する,(a) 入力待ち,当該入力が手元に来た時点,基準と単位が確定事項ファイルの座標系の定義へ反映された時点
U05-003,|部屋|寸法|,close,結果：壁位置はD00-001・D00-002として起票時点で既に確定事項ファイルに存在していた。close 2609051715 → 問いが消滅 S10-001,部屋そのものの幅・奥行（壁位置）,依頼主から壁位置の実測値を取得する,(a) 入力待ち,当該入力が手元に来た時点,壁位置が確定事項ファイルへ登録された時点
U05-004,|梁|取付|干渉|,close,結果：梁1の右面と梁2の左面の間に決定した。close 2609051715 → D00-032,3本の梁のうちどの2本の間に機器を設置するか,依頼主に設置する梁間を確認する,(a) 入力待ち,当該入力が手元に来た時点,設置する梁間が確定事項ファイルへ登録された時点
U05-005,|CSP|収納部|昇降機構|意匠|,close,結果：天井面からのはみ出しを許容する方針とした。close 2609051715 → D00-038,完全収納とするか天井面より下がることを許容するか,SCとの干渉条件を踏まえ機構の成立範囲を検討し方針を決める,(b) 順序待ち U05-001,U05-001がcloseになった時点,方針が確定事項ファイルへ登録された時点
U07-001,|図面|寸法|,open,未着手,図面をGHへ配布するか否か,grep等による部分取得の実利と配布に要する手間を比較して決める,(c) 費用対効果,図番がF010に達した時点,配布の要否が出力ルール4-5へ反映された時点
ー,,,,,,,,
